Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
"Ekonomi, administration och försäljning",Onlinemarknadsförare,Stockholm,Stockholm,1,False,320,Medieinstitutet i Sverige AB,2020,MYH 2020/5701
"Ekonomi, administration och försäljning",Public Bid Manager,Flera kommuner,Flera kommuner,3,True,400,IHM Business School AB Göteborg,2020,MYH 2020/5293
"Ekonomi, administration och försäljning",Redovisningsekonom,Västra Götaland,Göteborg,1,False,415,Hermods AB Göteborg,2020,MYH 2020/4120
"Ekonomi, administration och försäljning",Redovisningsekonom ,Flera kommuner,Flera kommuner,3,True,430,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4610
"Ekonomi, administration och försäljning",Redovisningsekonom ,Skåne,Eslöv,1,False,400,"Eslövs kommun, Yrkeshögskolan i Eslöv",2020,MYH 2020/4986
"Ekonomi, administration och försäljning",Redovisningsekonom ,Stockholm,Stockholm,1,False,430,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4795
"Ekonomi, administration och försäljning",Redovisningsekonom ,Västra Götaland,Lidköping,1,False,430,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4614
"Ekonomi, administration och försäljning",Redovisningsekonom ,Östergötland,Linköping,1,False,430,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4612
"Ekonomi, administration och försäljning",Redovisningskonsult,Skåne,Kristianstad,1,False,420,"Kristianstad kommun, Vuxenutbildningen",2020,MYH 2020/5187
"Ekonomi, administration och försäljning",Redovisningskonsult,Västra Götaland,Göteborg,1,False,410,Stockholm School of Business,2020,MYH 2020/5605
"Ekonomi, administration och försäljning",Strategiskt inköp och upphandling,Stockholm,Stockholm,1,False,430,One Academy AB,2020,MYH 2020/5301
"Ekonomi, administration och försäljning",Säljare B2B,Skåne,Malmö,1,False,400,Stockholm School of Business,2020,MYH 2020/5665
"Ekonomi, administration och försäljning",Technical Account Manager,Västra Götaland,Göteborg,1,False,420,Hermods AB Göteborg,2020,MYH 2020/4532
"Ekonomi, administration och försäljning",Visual Merchandiser,Stockholm,Stockholm,1,False,300,Stockholm School of Business,2020,MYH 2020/5732
"Ekonomi, administration och försäljning",Visual Merchandiser - Unified Commerce,Skåne,Malmö,1,False,400,IHM Business School AB Malmö,2020,MYH 2020/4895
"Ekonomi, administration och försäljning",Vårdadministratör,Östergötland,Linköping,1,False,400,Östsvenska Yrkeshögskolan AB,2020,MYH 2020/4980
"Ekonomi, administration och försäljning",Vårdadministratör - medicinsk sekreterare,Värmland,Karlstad,1,False,400,"Karlstads kommun, Yrkeshögskolan",2020,MYH 2020/5356
"Ekonomi, administration och försäljning",Vårdadministratör - medicinsk sekreterare,Värmland,Kristinehamn,1,False,400,"Kristinehamns kommun, Komvux",2020,MYH 2020/4692
Friskvård och kroppsvård,Hud- och massageterapeut,Stockholm,Stockholm,1,False,300,Yrkeshögskolan för Hudvård & Spa AB,2020,MYH 2020/5069
Friskvård och kroppsvård,Hud- och spaterapeut,Västra Götaland,Göteborg,1,False,300,Yrkeshögskolan för Hudvård & Spa AB,2020,MYH 2020/5079
"Hotell, restaurang och turism",Affärsutvecklare besöksnäring,Flera kommuner,Flera kommuner,2,True,400,YrkesAkademin YH AB,2020,MYH 2020/5062
"Hotell, restaurang och turism","Arbetsledare, måltidsservice",Stockholm,Stockholm,1,False,200,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4606
"Hotell, restaurang och turism",Arctic Hospitality Leader ,Norrbotten,Boden,1,False,300,Changemaker Educations AB,2020,MYH 2020/4826
