Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Studieform,Studietakt %,Utbildningsanordnare,Huvudmannatyp,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Ansökningsomgång,Diarienummer,Beslut
Data/IT,Frontend-utvecklare,Stockholm,Solna,1,False,400,Bunden,100,Nackademin AB,Privat,3,3,105,105,35,2020,MYH 2020/5302,True
Data/IT,Frontend-utvecklare,Östergötland,Linköping,2,True,400,Distans,100,TUC Sweden AB - Yrkeshögskola,Privat,5,0,150,0,30,2020,MYH 2020/4950,False
Data/IT,Full stack web development,Dalarna,Borlänge,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Halland,Halmstad,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Jönköping,Jönköping,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Skåne,Lund,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Skåne,Malmö,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Stockholm,Stockholm,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Uppsala,Uppsala,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Västerbotten,Umeå,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Västra Götaland,Göteborg,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
Data/IT,Full stack web development,Östergötland,Linköping,10,True,200,Distans,100,CC Codify College AB,Privat,5,0,10,0,2,2020,MYH 2020/4842,False
