Diarienummer,Beslut,Kommun,Län
MYH 2024/1361,True,Nyköping,Södermanland
MYH 2024/1362,False,Lidköping,Västra Götaland
MYH 2024/1363,False,Mölndal,Västra Götaland
MYH 2024/1364,True,Simrishamn,Skåne
MYH 2024/1365,True,Strömsholm,Västmanland
MYH 2024/1366,True,Malmö,Skåne
MYH 2024/1367,False,Piteå,Norrbotten
MYH 2024/1367,False,Arvika,Värmland
MYH 2024/1367,False,Göteborg,Västra Götaland
MYH 2024/1368,True,Malmö,Skåne
MYH 2024/1368,True,Stockholm,Stockholm
MYH 2024/1368,True,Luleå,Norrbotten
MYH 2024/1369,True,Göteborg,Västra Götaland
MYH 2024/1370,True,Stockholm,Stockholm
MYH 2024/1371,True,Göteborg,Västra Götaland
MYH 2024/1372,True,Nyköping,Södermanland
MYH 2024/1373,False,Tumba,Stockholm
MYH 2024/1374,True,Nyköping,Södermanland
MYH 2024/1375,True,Nyköping,Södermanland
MYH 2024/1376,True,Malmö,Skåne
MYH 2024/1377,False,Lidköping,Västra Götaland
MYH 2024/1378,False,Linköping,Östergötland
MYH 2024/1379,True,Skövde,Västra Götaland
MYH 2024/1380,False,Tumba,Stockholm
MYH 2024/1381,False,Skövde,Västra Götaland
MYH 2024/1382,False,Stockholm,Stockholm
MYH 2024/1383,False,Sundsvall,Västernorrland
MYH 2024/1385,True,Hudiksvall,Gävleborg
MYH 2024/1386,False,Gävle,Gävleborg
MYH 2024/1387,False,Gävle,Gävleborg
MYH 2024/1388,False,Vänersborg,Västra Götaland
MYH 2024/1389,False,Stockholm,Stockholm
MYH 2024/1390,True,Malmö,Skåne
MYH 2024/1391,False,Västerås,Västmanland
MYH 2024/1392,False,Göteborg,Västra Götaland
MYH 2024/1393,False,Härryda,Västra Götaland
MYH 2024/1393,False,Stockholm,Stockholm
MYH 2024/1393,False,Umeå,Västerbotten
MYH 2024/1394,True,Båstad,Skåne
MYH 2024/1395,False,Lund,Skåne
MYH 2024/1395,False,Jönköping,Jönköping
MYH 2024/1396,False,Jönköping,Jönköping
MYH 2024/1396,False,Lund,Skåne
MYH 2024/1397,False,Helsingborg,Skåne
MYH 2024/1398,True,Norrköping,Östergötland
MYH 2024/1399,False,Göteborg,Västra Götaland
MYH 2024/1400,False,Stockholm,Stockholm
MYH 2024/1401,False,Stockholm,Stockholm
MYH 2024/1402,False,Vilhelmina,Västerbotten
MYH 2024/1403,True,Norrköping,Östergötland
MYH 2024/1404,False,Stockholm,Stockholm
MYH 2024/1405,True,Stockholm,Stockholm
MYH 2024/1406,True,Stockholm,Stockholm
MYH 2024/1406,True,Sollefteå,Västernorrland
MYH 2024/1407,True,Lidköping,Västra Götaland
MYH 2024/1408,True,Stockholm,Stockholm
MYH 2024/1409,True,Stockholm,Stockholm
MYH 2024/1410,True,Göteborg,Västra Götaland
MYH 2024/1410,True,Arvika,Värmland
MYH 2024/1410,True,Piteå,Norrbotten
MYH 2024/1411,True,Stockholm,Stockholm
MYH 2024/1412,True,Mölndal,Västra Götaland
MYH 2024/1413,False,Stockholm,Stockholm
