Diarienummer,Kommun,Län,Beslut
MYH 2020/4774,Göteborg,Västra Götaland,False
MYH 2020/4775,Solna,Stockholm,False
MYH 2020/4776,Nyköping,Södermanland,True
MYH 2020/4777,Trollhättan,Västra Götaland,False
MYH 2020/4778,Norrtälje,Stockholm,False
MYH 2020/4778,Stockholm,Stockholm,False
MYH 2020/4779,Skövde,Västra Götaland,False
MYH 2020/4779,Vänersborg,Västra Götaland,False
MYH 2020/4779,Lidköping,Västra Götaland,False
MYH 2020/4780,Katrineholm,Södermanland,True
MYH 2020/4780,Västerås,Västmanland,True
MYH 2020/4780,Gävle,Gävleborg,True
MYH 2020/4780,Eskilstuna,Södermanland,True
MYH 2020/4781,Lund,Skåne,True
MYH 2020/4782,Eslöv,Skåne,True
MYH 2020/4783,Tibro,Västra Götaland,False
MYH 2020/4784,Tibro,Västra Götaland,False
MYH 2020/4785,Tibro,Västra Götaland,False
MYH 2020/4786,Tibro,Västra Götaland,True
MYH 2020/4787,Nyköping,Södermanland,True
MYH 2020/4788,Göteborg,Västra Götaland,False
MYH 2020/4789,Örnsköldsvik,Västernorrland,True
MYH 2020/4789,Gävle,Gävleborg,True
MYH 2020/4790,Norrtälje,Stockholm,False
MYH 2020/4790,Ronneby,Blekinge,False
MYH 2020/4791,Karlshamn,Blekinge,False
MYH 2020/4792,Stockholm,Stockholm,False
MYH 2020/4793,Stockholm,Stockholm,False
MYH 2020/4794,Lund,Skåne,False
MYH 2020/4795,Stockholm,Stockholm,True
MYH 2020/4796,Gävle,Gävleborg,True
MYH 2020/4797,Stockholm,Stockholm,False
MYH 2020/4798,Stockholm,Stockholm,False
MYH 2020/4799,Tranås,Jönköping,True
MYH 2020/4800,Tranås,Jönköping,False
MYH 2020/4801,Västerås,Västmanland,True
MYH 2020/4802,Stockholm,Stockholm,False
MYH 2020/4803,Linköping,Östergötland,False
MYH 2020/4804,Kalmar,Kalmar,True
MYH 2020/4805,Jönköping,Jönköping,False
MYH 2020/4805,Malmö,Skåne,False
MYH 2020/4805,Stockholm,Stockholm,False
MYH 2020/4805,Göteborg,Västra Götaland,False
MYH 2020/4806,Göteborg,Västra Götaland,False
MYH 2020/4806,Jönköping,Jönköping,False
MYH 2020/4806,Malmö,Skåne,False
MYH 2020/4806,Stockholm,Stockholm,False
MYH 2020/4807,Jönköping,Jönköping,False
MYH 2020/4807,Malmö,Skåne,False
MYH 2020/4807,Göteborg,Västra Götaland,False
MYH 2020/4807,Stockholm,Stockholm,False
MYH 2020/4808,Tranås,Jönköping,True
MYH 2020/4809,Göteborg,Västra Götaland,True
MYH 2020/4810,Eskilstuna,Södermanland,False
MYH 2020/4811,Åsele,Västerbotten,False
MYH 2020/4811,Örnsköldsvik,Västernorrland,False
MYH 2020/4812,Växjö,Kronoberg,False
MYH 2020/4813,Västerås,Västmanland,False
MYH 2020/4814,Jönköping,Jönköping,False
MYH 2020/4815,Umeå,Västerbotten,False
MYH 2020/4816,Örnsköldsvik,Västernorrland,True
MYH 2020/4817,Göteborg,Västra Götaland,False
MYH 2020/4817,Järfälla,Stockholm,False
MYH 2020/4818,Göteborg,Västra Götaland,False
MYH 2020/4818,Stockholm,Stockholm,False
MYH 2020/4818,Malmö,Skåne,False
MYH 2020/4819,Stockholm,Stockholm,False
MYH 2020/4820,Stockholm,Stockholm,False
MYH 2020/4821,Stockholm,Stockholm,True
MYH 2020/4822,Malmö,Skåne,False
MYH 2020/4823,Stockholm,Stockholm,False
MYH 2020/4824,Stockholm,Stockholm,True
MYH 2020/4825,Göteborg,Västra Götaland,False
MYH 2020/4825,Stockholm,Stockholm,False
MYH 2020/4825,Karlstad,Värmland,False
